Name	ReportingUnitType
District of Columbia	city
District of Columbia;Ward 1	ward
District of Columbia;Ward 2	ward
District of Columbia;Ward 3	ward
District of Columbia;Ward 4	ward
District of Columbia;Ward 5	ward
District of Columbia;Ward 6	ward
District of Columbia;Ward 7	ward
District of Columbia;Ward 8	ward
District of Columbia;Ward 8;Precinct 140	precinct
District of Columbia;Ward 8;Precinct 134	precinct
District of Columbia;Ward 8;Precinct 133	precinct
District of Columbia;Ward 8;Precinct 126	precinct
District of Columbia;Ward 8;Precinct 125	precinct
District of Columbia;Ward 8;Precinct 124	precinct
District of Columbia;Ward 8;Precinct 123	precinct
District of Columbia;Ward 8;Precinct 122	precinct
District of Columbia;Ward 8;Precinct 121	precinct
District of Columbia;Ward 8;Precinct 120	precinct
District of Columbia;Ward 8;Precinct 119	precinct
District of Columbia;Ward 8;Precinct 118	precinct
District of Columbia;Ward 8;Precinct 117	precinct
District of Columbia;Ward 8;Precinct 116	precinct
District of Columbia;Ward 8;Precinct 115	precinct
District of Columbia;Ward 8;Precinct 114	precinct
District of Columbia;Ward 8;Precinct 112	precinct
District of Columbia;Ward 7;Precinct 99	precinct
District of Columbia;Ward 7;Precinct 98	precinct
District of Columbia;Ward 7;Precinct 97	precinct
District of Columbia;Ward 7;Precinct 96	precinct
District of Columbia;Ward 7;Precinct 95	precinct
District of Columbia;Ward 7;Precinct 94	precinct
District of Columbia;Ward 7;Precinct 93	precinct
District of Columbia;Ward 7;Precinct 92	precinct
District of Columbia;Ward 7;Precinct 80	precinct
District of Columbia;Ward 7;Precinct 132	precinct
District of Columbia;Ward 7;Precinct 113	precinct
District of Columbia;Ward 7;Precinct 111	precinct
District of Columbia;Ward 7;Precinct 110	precinct
District of Columbia;Ward 7;Precinct 109	precinct
District of Columbia;Ward 7;Precinct 108	precinct
District of Columbia;Ward 7;Precinct 107	precinct
District of Columbia;Ward 7;Precinct 106	precinct
District of Columbia;Ward 7;Precinct 105	precinct
District of Columbia;Ward 7;Precinct 104	precinct
District of Columbia;Ward 7;Precinct 103	precinct
District of Columbia;Ward 7;Precinct 102	precinct
District of Columbia;Ward 7;Precinct 101	precinct
District of Columbia;Ward 7;Precinct 100	precinct
District of Columbia;Ward 6;Precinct 91	precinct
