cdf_element	cdf_internal_name	raw_identifier_value
Party	Green Party	GREEN
Party	Independent	INDEPENDENT
Party	Libertarian Party	LIBERTARIAN
Party	Republican Party	REPUBLICAN
Party	Democratic Party	DEMOCRATIC
CandidateContest	Pennsylvania;Governor and Lieutenant Governor	GOVERNOR AND LIEUTENANT GOVERNOR
CandidateContest	Pennsylvania;United States Congress District 2	REPRESENTATIVE IN CONGRESS-2ND DISTRICT
CandidateContest	Pennsylvania;United States Congress District 3	REPRESENTATIVE IN CONGRESS-3RD DISTRICT
CandidateContest	Pennsylvania;United States Congress District 5	REPRESENTATIVE IN CONGRESS-5TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 152	REPRESENTATIVE IN THE GENERAL ASSEMBLY-152ND DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 170	REPRESENTATIVE IN THE GENERAL ASSEMBLY-170TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 172	REPRESENTATIVE IN THE GENERAL ASSEMBLY-172ND DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 173	REPRESENTATIVE IN THE GENERAL ASSEMBLY-173RD DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 174	REPRESENTATIVE IN THE GENERAL ASSEMBLY-174TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 175	REPRESENTATIVE IN THE GENERAL ASSEMBLY-175TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 177	REPRESENTATIVE IN THE GENERAL ASSEMBLY-177TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 179	REPRESENTATIVE IN THE GENERAL ASSEMBLY-179TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 180	REPRESENTATIVE IN THE GENERAL ASSEMBLY-180TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 181	REPRESENTATIVE IN THE GENERAL ASSEMBLY-181ST DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 182	REPRESENTATIVE IN THE GENERAL ASSEMBLY-182ND DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 184	REPRESENTATIVE IN THE GENERAL ASSEMBLY-184TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 185	REPRESENTATIVE IN THE GENERAL ASSEMBLY-185TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 186	REPRESENTATIVE IN THE GENERAL ASSEMBLY-186TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 188	REPRESENTATIVE IN THE GENERAL ASSEMBLY-188TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 190	REPRESENTATIVE IN THE GENERAL ASSEMBLY-190TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 191	REPRESENTATIVE IN THE GENERAL ASSEMBLY-191ST DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 192	REPRESENTATIVE IN THE GENERAL ASSEMBLY-192ND DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 194	REPRESENTATIVE IN THE GENERAL ASSEMBLY-194TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 195	REPRESENTATIVE IN THE GENERAL ASSEMBLY-195TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 197	REPRESENTATIVE IN THE GENERAL ASSEMBLY-197TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 198	REPRESENTATIVE IN THE GENERAL ASSEMBLY-198TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 200	REPRESENTATIVE IN THE GENERAL ASSEMBLY-200TH DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 201	REPRESENTATIVE IN THE GENERAL ASSEMBLY-201ST DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 202	REPRESENTATIVE IN THE GENERAL ASSEMBLY-202ND DISTRICT
CandidateContest	Pennslyvania;General Assembly House District 203	REPRESENTATIVE IN THE GENERAL ASSEMBLY-203RD DISTRICT
CandidateContest	Pennsylvania;General Assembly Senate District 2	SENATOR IN THE GENERAL ASSEMBLY-2ND DISTRICT
CandidateContest	Pennsylvania;General Assembly Senate District 4	SENATOR IN THE GENERAL ASSEMBLY-4TH DISTRICT
CandidateContest	Pennsylvania;General Assembly Senate District 8	SENATOR IN THE GENERAL ASSEMBLY-8TH DISTRICT
CandidateContest	Pennslyvania;United States Senate	UNITED STATES SENATOR
BallotMeasureContest	CITY BOND QUESTION (Bill No. 180552)	CITY BOND QUESTION (Bill No. 180552)
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 1	Ward 1;Division 1
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 10	Ward 1;Division 10
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 11	Ward 1;Division 11
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 12	Ward 1;Division 12
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 13	Ward 1;Division 13
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 14	Ward 1;Division 14
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 15	Ward 1;Division 15
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 16	Ward 1;Division 16
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 17	Ward 1;Division 17
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 18	Ward 1;Division 18
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 19	Ward 1;Division 19
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 2	Ward 1;Division 2
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 20	Ward 1;Division 20
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 21	Ward 1;Division 21
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 3	Ward 1;Division 3
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 4	Ward 1;Division 4
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 5	Ward 1;Division 5
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 6	Ward 1;Division 6
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 7	Ward 1;Division 7
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 8	Ward 1;Division 8
ReportingUnit	Pennsylvania;Philadelphia;Ward 1;Division 9	Ward 1;Division 9
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 1	Ward 10;Division 1
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 10	Ward 10;Division 10
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 11	Ward 10;Division 11
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 12	Ward 10;Division 12
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 13	Ward 10;Division 13
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 14	Ward 10;Division 14
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 15	Ward 10;Division 15
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 16	Ward 10;Division 16
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 17	Ward 10;Division 17
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 18	Ward 10;Division 18
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 19	Ward 10;Division 19
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 2	Ward 10;Division 2
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 20	Ward 10;Division 20
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 21	Ward 10;Division 21
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 22	Ward 10;Division 22
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 23	Ward 10;Division 23
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 24	Ward 10;Division 24
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 25	Ward 10;Division 25
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 26	Ward 10;Division 26
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 27	Ward 10;Division 27
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 28	Ward 10;Division 28
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 29	Ward 10;Division 29
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 3	Ward 10;Division 3
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 4	Ward 10;Division 4
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 5	Ward 10;Division 5
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 6	Ward 10;Division 6
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 7	Ward 10;Division 7
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 8	Ward 10;Division 8
ReportingUnit	Pennsylvania;Philadelphia;Ward 10;Division 9	Ward 10;Division 9
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 1	Ward 11;Division 1
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 10	Ward 11;Division 10
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 11	Ward 11;Division 11
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 12	Ward 11;Division 12
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 13	Ward 11;Division 13
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 14	Ward 11;Division 14
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 15	Ward 11;Division 15
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 16	Ward 11;Division 16
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 17	Ward 11;Division 17
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 18	Ward 11;Division 18
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 19	Ward 11;Division 19
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 2	Ward 11;Division 2
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 20	Ward 11;Division 20
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 3	Ward 11;Division 3
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 4	Ward 11;Division 4
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 5	Ward 11;Division 5
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 6	Ward 11;Division 6
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 7	Ward 11;Division 7
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 8	Ward 11;Division 8
ReportingUnit	Pennsylvania;Philadelphia;Ward 11;Division 9	Ward 11;Division 9
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 1	Ward 12;Division 1
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 10	Ward 12;Division 10
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 11	Ward 12;Division 11
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 12	Ward 12;Division 12
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 13	Ward 12;Division 13
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 14	Ward 12;Division 14
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 15	Ward 12;Division 15
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 16	Ward 12;Division 16
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 17	Ward 12;Division 17
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 18	Ward 12;Division 18
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 19	Ward 12;Division 19
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 2	Ward 12;Division 2
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 20	Ward 12;Division 20
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 21	Ward 12;Division 21
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 22	Ward 12;Division 22
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 23	Ward 12;Division 23
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 24	Ward 12;Division 24
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 3	Ward 12;Division 3
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 4	Ward 12;Division 4
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 5	Ward 12;Division 5
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 6	Ward 12;Division 6
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 7	Ward 12;Division 7
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 8	Ward 12;Division 8
ReportingUnit	Pennsylvania;Philadelphia;Ward 12;Division 9	Ward 12;Division 9
ReportingUnit	Pennsylvania;Philadelphia;Ward 13;Division 1	Ward 13;Division 1
ReportingUnit	Pennsylvania;Philadelphia;Ward 13;Division 10	Ward 13;Division 10
ReportingUnit	Pennsylvania;Philadelphia;Ward 13;Division 11	Ward 13;Division 11
ReportingUnit	Pennsylvania;Philadelphia;Ward 13;Division 12	Ward 13;Division 12
ReportingUnit	Pennsylvania;Philadelphia;Ward 13;Division 13	Ward 13;Division 13
ReportingUnit	Pennsylvania;Philadelphia;Ward 13;Division 14	Ward 13;Division 14
ReportingUnit	Pennsylvania;Philadelphia;Ward 13;Division 15	Ward 13;Division 15
ReportingUnit	Pennsylvania;Philadelphia;Ward 13;Division 16	Ward 13;Division 16
ReportingUnit	Pennsylvania;Philadelphia;Ward 13;Division 17	Ward 13;Division 17
